Textbox20
"MassDOT makes no representation as to the accuracy, adequacy, reliability, availability or completeness of the crash records or the data collected from them and is not responsible for any errors or omissions in such records or data. Under no circumstance will MassDOT have any liability for any loss or damage incurred by any party as a result of the use of the crash records or the data collected from them. Furthermore, the data contained in the web-based crash report tool are not an official record of what transpired in a particular crash or for a particular crash type. If a user is interested in an official copy of a crash report, contact the Registry (http://www.mass.gov/rmv/).

The City of Boston Police Department may be contacted directly for official copies of crash reports and for crash data pertaining to the City of Boston. In addition, any crash records or data provided for the years 2022 and later are subject to change at any time and are not to be considered up-to-date or complete. As such, open years’ of crash data are for informational purposes only and should not be used for analysis.
5265250,SOMERVILLE,10-May-2023,8:11 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,1 DAVIS SQ Rte S,,,,,231083.36766185,905163.2586637
5265258,SOMERVILLE,10-May-2023,8:39 AM,Non-fatal injury,Possible Injury (C),1,1,0,"Sideswipe, same direction",V1: Turning right,V1: W,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))","V1:(Single-unit truck (2-axle, 6-tires))",Dry,Daylight,Clear,BEACON ST Rte W / PARK ST Rte N,BEACON ST Rte W / PARK ST Rte N,,,, VU3: Bicyclist,232223.9375,903371.9375
5265246,SOMERVILLE,10-May-2023,2:01 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear/Clear,,1 BOW ST Rte N,,,,,233204.49274472,903401.48666261
5255448,SOMERVILLE,11-May-2023,6:15 AM,Non-fatal injury,Possible Injury (C),2,1,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Entering traffic lane,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Invalid Code Specified),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Not Reported,,Rte 93 S,,Exit 20 on Rte 93 S,,,234110.61049626,904849.02618964
5265251,SOMERVILLE,11-May-2023,11:07 AM,Property damage only (none injured),No Apparent Injury (O),3,0,0,Rear-to-rear,V1: Backing / V2: Parked / V3: Parked,V1: W  / V2:    / V3:,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car) / V3:(Passenger car),Dry,Daylight,Clear/Clear,,300 BROADWAY Rte W,,,,,233545.66943613,904703.21416752
5254111,SOMERVILLE,11-May-2023,5:37 PM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Travelling straight ahead,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Truck/trailer) / V2:(Passenger car),Dry,Daylight,Clear,,Rte 93 N,,Exit 21 on Rte 93 N,,,234353.90571713,904550.50955679
5265261,SOMERVILLE,12-May-2023,5:45 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Single vehicle crash,V1: Unknown,V1: U,"V1:(Collision with other fixed object (wall, building, tunnel, etc.))",V1:(Passenger car),Dry,Daylight,Clear,,1336 BROADWAY Rte E,,,,,230291.58538588,906247.1261376
5265262,SOMERVILLE,13-May-2023,3:28 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked,V1: S  / V2: S,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),V1:(Other) / V2:(Passenger car),Dry,Daylight,Clear,,116 PORTER ST Rte S,,,,,232063.21505735,904534.19281614
5265264,SOMERVILLE,14-May-2023,1:22 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Parked / V2: Turning left,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,1273 BROADWAY Rte,,,,,230415.31654023,906161.81721377
5274892,SOMERVILLE,14-May-2023,1:50 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2: Travelling straight ahead,V1: E  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,0 feet W from Intersection  Rte 16 E / POWDER HOUSE BOULEVARD Rte W,,,,,230411.4533,906514.7501
5265263,SOMERVILLE,15-May-2023,8:12 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Travelling straight ahead / V2: Entering traffic lane,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Cloudy,,406 HIGHLAND AV Rte W,,,BANK from AMERICA,,231229.45386594,905100.36064903
5265260,SOMERVILLE,15-May-2023,2:43 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Turning right / V2: Turning right,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Single-unit truck (3-or-more axles)),Dry,Daylight,Cloudy,,HIGHLAND AVE Rte W / COLLEGE AVE Rte,,,,,231095.9846,905177.4999
5255445,SOMERVILLE,15-May-2023,5:00 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Angle,V1: Travelling straight ahead,V1: W,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))","V1:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,MYSTIC VALLEY PARKWAY Rte SR16 W / IRVINGTON ROAD,MYSTIC VALLEY PARKWAY Rte SR16 W / IRVINGTON ROAD,,,, VU2: Bicyclist,230451.7972,907345.5
5265267,SOMERVILLE,15-May-2023,5:39 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1: E,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",V1:(Passenger car),Dry,Daylight,Clear/Clear,,301 GREAT RIVER RD Rte E,,,, VU3: Bicyclist,234501.9193509,905138.47808163
5265270,SOMERVILLE,16-May-2023,8:23 AM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Single vehicle crash,V1: Turning left,V1: S,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",V1:(Passenger car),Dry,Daylight,Clear/Clear,,530 SOMERVILLE AV Rte E,,,, VU3: Bicyclist,232404.38730398,903710.10393664
5262506,SOMERVILLE,16-May-2023,12:25 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear,,Rte 93 S,,Exit 20 on Rte 93 S,,,234110.61049626,904849.02618964
5265268,SOMERVILLE,16-May-2023,5:12 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: E  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,358 BROADWAY Rte E,,,,,233279.29447128,904889.50900046
5260950,SOMERVILLE,16-May-2023,5:38 PM,Non-fatal injury,Possible Injury (C),2,1,0,Angle,V1: Turning left / V2: Travelling straight ahead,V1: W  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,WOODSTOCK STREET / ALEWIFE BROOK PARKWAY Rte SR16 W,WOODSTOCK STREET / ALEWIFE BROOK PARKWAY Rte SR16 W,,,,,230104.8394,906050.4519
5265256,SOMERVILLE,17-May-2023,3:47 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Turning left / V2: Travelling straight ahead,V1: W  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear/Clear,,9 BROOK ST Rte E,,,,,234140.35032427,904135.54398357
5265235,SOMERVILLE,17-May-2023,5:11 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked,V1: E  / V2: E,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear/Clear,,28 DEARBORN RD Rte E,,,,,231550.59625205,906133.12781236
5265269,SOMERVILLE,17-May-2023,9:02 PM,Non-fatal injury,Possible Injury (C),2,1,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: N  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Dark - lighted roadway,Clear/Clear,GRAND UNION BOULEVARD / CANAL STREET,GRAND UNION BOULEVARD / CANAL STREET,,,,,234514.0843,904910.7909
5265280,SOMERVILLE,18-May-2023,6:19 AM,Property damage only (none injured),No Apparent Injury (O),3,0,0,Single vehicle crash,V1: Travelling straight ahead / V2: Parked / V3: Parked,V1: W  / V2: W  / V3: W,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car) / V3:(Passenger car),Dry,Daylight,Clear,,49 DOVER ST Rte W,,,,,230824.99976116,905052.7032943
5265272,SOMERVILLE,18-May-2023,7:31 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Turning left / V2: Travelling straight ahead,V1: S  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,BROADWAY Rte E / WINCHESTER ST Rte,,,,,232161.8933,905454.7991
5265281,SOMERVILLE,18-May-2023,5:39 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,"Sideswipe, same direction",V1: Leaving traffic lane,V1: N,V1:(Collision with other movable object),V1:(Passenger car),Dry,Daylight,Clear/Clear,,16 BEACON ST Rte N,,,, VU2: Bicyclist,232743.33838263,902802.16723226
5257784,SOMERVILLE,18-May-2023,9:15 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Entering traffic lane / V2: Turning left,V1: S  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Dark - lighted roadway,Clear,ALEWIFE BROOK PARKWAY Rte SR16 E / MYSTIC VALLEY-ALEWIFE BROOK ROTARY Rte SR16 E,ALEWIFE BROOK PARKWAY Rte SR16 E / MYSTIC VALLEY-ALEWIFE BROOK ROTARY Rte SR16 E,,,,,230357.6005,907182.789
5257773,SOMERVILLE,18-May-2023,10:35 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Changing lanes / V2: Changing lanes,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dark - lighted roadway,Clear,,Rte 93 N,0 feet  from Milemarker 20.6,,,,233960.96395865,905031.73711113
5265271,SOMERVILLE,19-May-2023,6:40 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Entering traffic lane / V2: Travelling straight ahead,V1: U  / V2: U,V1:(Collision with motor vehicle in traffic) / V2:(Unknown),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear/Unknown,,630 SOMERVILLE AVENUE Rte 1 E,,,,,232050.022624,903817.07635174
5260038,SOMERVILLE,19-May-2023,2:00 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Changing lanes / V2: Travelling straight ahead,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Single-unit truck (2-axle, 6-tires)) / V2:(Passenger car)",Dry,Daylight,Clear,,326 WASHINGTON STREET,,,,,233772.37652398,903384.90117327
5265273,SOMERVILLE,19-May-2023,4:50 PM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,Angle,V1: Travelling straight ahead / V2: Parked,V1: N  / V2: S,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),V1:(Motorcycle) / V2:(Passenger car),Dry,Daylight,Clear,HILLSDALE RD Rte N / SUNSET RD Rte W,HILLSDALE RD Rte N / SUNSET RD Rte W,,,,,230771.1718,906591.0623
5265276,SOMERVILLE,20-May-2023,12:55 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Entering traffic lane,V1: E  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Wet,Daylight,Rain,,191 HIGHLAND AV Rte E,,,,,232424.95791115,904396.92614584
5260549,SOMERVILLE,20-May-2023,11:17 PM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Wet,Dark - roadway not lighted,Rain,,RAMP-RT 93 NB TO CAMBRIDGE ST / RAMP-SUMNER TUNL/CROSS ST TO RT 93 NB,,,,,234917.0913353,903260.49429223
5266665,SOMERVILLE,21-May-2023,1:45 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,110 ALEWIFE BROOK PARKWAY Rte UNKNOW,,,,,230174.22029391,906344.07695338
5265255,SOMERVILLE,21-May-2023,2:47 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Turning right / V2: Travelling straight ahead,V1: W  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,CHETWYND RD Rte W / HILLSDALE RD Rte S,CHETWYND RD Rte W / HILLSDALE RD Rte S,,,,,230744.2498,906539.0001
5265275,SOMERVILLE,22-May-2023,7:36 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Leaving traffic lane / V2: Parked,V1: S  / V2: S,V1:(Collision with parked motor vehicle) / V2:(Collision with parked motor vehicle),"V1:(Single-unit truck (2-axle, 6-tires)) / V2:(Passenger car)",Dry,Daylight,Clear,,156 ORCHARD ST Rte S,,,,,230826.63285035,905075.71661612
5265254,SOMERVILLE,24-May-2023,7:37 AM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: W,V1:(Collision with light pole or other post/support),"V1:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,14 MCGRATH HWY Rte W,,,,,234143.26469458,902835.98405787
5265274,SOMERVILLE,24-May-2023,3:08 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Angle,V1: Travelling straight ahead,V1: E,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",V1:(Passenger car),Dry,Daylight,Clear,AUTUMN ST Rte S / BONAIR ST Rte E,AUTUMN ST Rte S / BONAIR ST Rte E,,,, VU2: Bicyclist,233938.4529,904246.3752
5265277,SOMERVILLE,25-May-2023,8:06 AM,Non-fatal injury,Possible Injury (C),1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1: E,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",V1:(Passenger car),Dry,Daylight,Clear/Clear,CARLTON ST Rte S / SOMERVILLE AVE Rte E,CARLTON ST Rte S / SOMERVILLE AVE Rte E,,,, VU2: Bicyclist,232959.9687,903495.6249
5260951,SOMERVILLE,25-May-2023,2:07 PM,Non-fatal injury,Possible Injury (C),2,2,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: S  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,FELLSWAY Rte SR28 S / MYSTIC AVENUE Rte SR38 N,FELLSWAY Rte SR28 S / MYSTIC AVENUE Rte SR38 N,,,,,234099.1564,904924.5002
5262873,SOMERVILLE,25-May-2023,2:10 PM,Non-fatal injury,Suspected Minor Injury (B),2,2,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: E  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear,MYSTIC AVENUE Rte SR38 S / RAMP-RT 28 NB TO RT 38 NB (MYSTIC AVE NB,MYSTIC AVENUE Rte SR38 S / RAMP-RT 28 NB TO RT 38 NB (MYSTIC AVE NB,,,,,234133.3283,904751.2502
5260580,SOMERVILLE,25-May-2023,3:00 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Changing lanes / V2: Slowing or stopped in traffic,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Not Reported,,INTERSTATE 93 Rte I93 N / RAMP-SUMNER TUNL/CROSS ST TO RT 93 NB,,Exit 20 on INTERSTATE 93 Rte I93 N,,,234978.21807989,903131.29947984
5265259,SOMERVILLE,25-May-2023,7:33 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked,V1: N  / V2: N,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,50 INNER BELT ROAD,,,,,234513.80586098,903142.68512375
5262876,SOMERVILLE,26-May-2023,1:00 AM,Unknown,Not reported,1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: S,V1:(Collision with median barrier),V1:(Passenger car),Dry,Dark - lighted roadway,Not Reported,,Rte 93 S,,Exit 20 on Rte 93 S,,,234110.61049626,904849.02618964
5262874,SOMERVILLE,27-May-2023,3:44 AM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: N,V1:(Collision with curb),V1:(Passenger car),Dry,Dark - lighted roadway,Clear,,171 MONSIGNOR OBRIEN HIGHWAY Rte SR28 N,,,,,234011.72626063,902969.68115762
5265266,SOMERVILLE,27-May-2023,12:40 PM,Non-fatal injury,Possible Injury (C),3,1,0,Rear-end,V1: Turning right / V2: Parked / V3: Parked,V1: U  / V2: U  / V3: U,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car) / V3:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear/Clear,,14 MCGRATH HWY Rte E,,,,,234143.26469458,902835.98405787
5265312,SOMERVILLE,29-May-2023,10:06 PM,Property damage only (none injured),No Apparent Injury (O),3,0,0,Angle,V1: Parked / V2: Parked / V3: Travelling straight ahead,V1: U  / V2: U  / V3: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with parked motor vehicle),V1:(Passenger car) / V2:(Passenger car) / V3:(Passenger car),Dry,Dark - lighted roadway,Clear/Clear,PORTER ST Rte S / PORTER AV Rte,PORTER ST Rte S / PORTER AV Rte,,,,,232011.3889,904433.8015
5265257,SOMERVILLE,30-May-2023,1:39 PM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Rear-end,V1: Backing,V1: W,V1:(Collision with utility pole),V1:(Other),Other,Daylight,Clear/Clear,SCHOOL STREET / SUMMER STREET,SCHOOL STREET / SUMMER STREET,,,,,232905.8437,903838.7499
5262881,SOMERVILLE,30-May-2023,2:35 PM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,Angle,V1: Travelling straight ahead / V2: Turning left,V1: N  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Motorcycle) / V2:(Passenger car),Dry,Daylight,Clear,,377 MYSTIC AVENUE,,,,,233948.81466748,904982.49258635
5262890,SOMERVILLE,30-May-2023,2:45 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Entering traffic lane / V2: Travelling straight ahead,V1: E  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,0 feet  from Intersection  Rte 16 E / POWDER HOUSE BOULEVARD Rte,,,,,230411.4533,906514.7501
5263497,SOMERVILLE,31-May-2023,5:05 AM,Property damage only (none injured),No Apparent Injury (O),3,0,0,Rear-end,V1: Slowing or stopped in traffic / V2: Slowing or stopped in traffic / V3: Travelling straight ahead,V1: S  / V2: S  / V3: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with median barrier) / V3:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility)) / V3:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dawn,Clear,,Rte 93 S,,Exit 20 on Rte 93 S,,,234110.61049626,904849.02618964
5275856,SOMERVILLE,01-Jun-2023,5:35 AM,Non-fatal injury,Suspected Minor Injury (B),3,1,0,Single vehicle crash,V1: Parked / V2: Travelling straight ahead / V3: Parked,V1: E  / V2: E  / V3: E,V1:(Collision with other movable object) / V2:(Collision with parked motor vehicle) / V3:(Collision with other movable object),V1:(Passenger car) / V2:(Passenger car) / V3:(Passenger car),Dry,Daylight,Clear,,90 GRAND UNION BOULEVARD,,,,,234564.25485048,904675.25675188
5263498,SOMERVILLE,01-Jun-2023,3:01 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,RAMP-MYSTIC AVE NB TO RT 93 NB,RAMP-MYSTIC AVE NB TO RT 93 NB,,,,,234319.98692352,904624.41145381
5266654,SOMERVILLE,01-Jun-2023,3:15 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Travelling straight ahead / V2: Changing lanes,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,Rte 93 N,,Exit 21 on Rte 93 N,,,234353.90571713,904550.50955679
5275851,SOMERVILLE,02-Jun-2023,7:26 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Entering traffic lane / V2: Travelling straight ahead,V1: E  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear/Clear,ARTISAN WY Rte S / GRAND UNION BLVD Rte E,ARTISAN WY Rte S / GRAND UNION BLVD Rte E,,,,,234493.0304,905011.3359
5275852,SOMERVILLE,02-Jun-2023,3:46 PM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Other,V1: S,V1:(Collision with fence),V1:(Passenger car),Dry,Daylight,Clear,,64 MEACHAM RD Rte S,,,, VU3: Other,230926.9242637,905226.82990622
5275855,SOMERVILLE,03-Jun-2023,10:44 AM,Non-fatal injury,Possible Injury (C),2,1,0,Rear-end,V1: Turning left / V2: Overtaking/passing,V1: S  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Wet,Daylight,Rain,BEACON ST Rte W / WASHINGTON ST Rte N,BEACON ST Rte W / WASHINGTON ST Rte N,,,,,232416.5155,903161.5624
5275853,SOMERVILLE,04-Jun-2023,12:18 AM,Non-fatal injury,Possible Injury (C),1,1,0,Single vehicle crash,V1: Turning left,V1: W,V1:(Collision with utility pole),"V1:(Light truck(van, mini-van, pickup, sport utility))",Wet,Dark - lighted roadway,Clear,,582 BROADWAY Rte,,,,,232261.20849669,905410.39506214
5266660,SOMERVILLE,04-Jun-2023,12:45 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Head-on,V1: Turning left / V2: Travelling straight ahead,V1: E  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Cloudy,,0 feet  from Intersection  Rte 38 S / GRANT STREET Rte,,,,,233940.1982,904976.2472
5275862,SOMERVILLE,04-Jun-2023,3:40 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Cloudy,CEDAR ST Rte S / HIGHLAND AV Rte W,CEDAR ST Rte S / HIGHLAND AV Rte W,,,,,231914.8124,904706.9376
5264637,SOMERVILLE,05-Jun-2023,7:04 AM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,Rear-end,V1: Slowing or stopped in traffic / V2: Slowing or stopped in traffic,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Wet,Daylight,Cloudy/Rain,MYSTIC VALLEY PARKWAY Rte SR16 W,MYSTIC VALLEY PARKWAY Rte SR16 W,,,,,230347.96240419,907210.97884441
5263509,SOMERVILLE,05-Jun-2023,9:20 PM,Non-fatal injury,Possible Injury (C),2,2,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Dark - lighted roadway,Cloudy,INTERSTATE 93 Rte I93 N,INTERSTATE 93 Rte I93 N,,,,,234502.56050688,904394.81399679
